AD_ID,AD_CLICKS,AD_IMPRESSIONS,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_INTERESTS,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
1264,602,3546,200.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"What happened in Manchester is a tragedy beyond description that filled our hearts with inconsolable grief of pain and loss. It makes everything worse that the spirit of hatred is again aimed on all Muslims who in fact have nothing to do with disgusting radicals who organize such gruesome acts. The whole Muslim community condemns terror! Islam would remain the religion of peace no matter how hard those terrorists try to promote the opposite image! These people hurt Islam and the best way we can protect it is the art of compassion and love towards all people suffering at the hands of radicals! Pray for the victims, stay strong and heal this world!",
225,9,58,7.51 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"The Daily Beast reported that a black veteran, Elliot Williams, 37, encountered a painful death in jail cell without help from jail officials as they watched hi Oklahoma Cops Left Black Army Veteran To Die In Jail Cell Black Matters Black Matters",
766,189,2409,400.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"I believe Ron Paul's position on our foreign military policy is absolutely right. After all, it was Trump who promised to put America First and promised to end Obama's policy of wasting budget money on military operations overseas. ""We're not going into Syria"", Trump said it to calm down those who got really concerned about a possibility of America getting involved into another war. really want to trust these words, but unfortunately many high-ranked politicians want to force Trump to pull America into another war. Here's what Ron Paul thinks about it: ""By the end of this month, Defense Secretary James Mattis and National Security Advisor HR McMaster will deliver to President Trump their plans for military escalations in Afghanistan, Iraq, and Syria. President Trump would be wise to rip the plans up and send his national security team back to the drawing board — or replace them. There is no way another ""surge"" in Afghanistan and Iraq (plus a new one in Syria) puts America first. There is no way doing the same thing over again will succeed any better than it did the last time."" Syria will be just another oil war; Iraq cost our country 4,500 soldier lives, and why the hell are we still in Afghanistan? We've started the whole Afghanistan thing to beat the Soviets, and no there's no Soviet Union on the world map, and all the communists left on this planet are only Chinese and Californian students.",
601,7,31,25.92 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,Lil bit about the history of Gay Rights... Protestor at Weinstein Hall demonstration for the rights of gay people on campus. NY 1970.,
1750,130,1113,99.00 RUB,18 - 65+,,"CollegeHumor, BuzzFeed or 9GAG",News Feed on desktop computers or News Feed on mobile devices,Word!,59000000.0
769,502,5186,500.00 RUB,18 - 65+,,,News Feed on desktop computers or News Feed on mobile devices,"Our politicians should never forget that. We've been watching our military commandership wasting lives of American soldiers for too long, let's hope it will end now when Trump is in charge. A new Marine Corps artillery unit was sent to assist Syrian opposition in Raqqa, according to Army Maj. Josh T. Jacques, a spokesman for U.S. Central Command. The artillery unit recently replaced about 400 Marines from the 11th Marine Expeditionary Unit, which provided artillery support to Kurdish and Syrian Arab forces expected to launch an offensive against Raqqa. We must deal with ISIS and end the terrorist threat once and for all. Unfortunately that's hardly possible because of the corruption in the Government. The Swamp in DC is still not drained from people like Senator McCain, and that's why our troops not only focus on defeating terrorism, but also getting involved into another regime change venture and possibly another oil war. We're fighting radical Islamists, but we're also siding with Syrian opposition, the very same radical Islamists, and there's absolutely no guarantee that these rebels won't replace ISIS when it's gone. There's only one chance to avoid another Iraq: Trump and the American nation must defeat globalist politicians and the Establishment. All we can do now is to pray for all American soldiers to return back home alive and safe.",
2843,1919,21444,900.00 RUB,18 - 65+,Exclude people who like Pan-African roots MOVE,"Martin Luther King, Jr., Black history, African- American Civil Rights Movement(1954-68), African-American history, Malcolm X or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"In a recent interview, Barack Obama said that not bombing Syria ""required the most political courage"". He said that sending troops to Syria was a very difficult decision, but not bombing Syria was even harder to make. Obama was hated for not taking actions, but it's better for being hated for not killing innocent people that for starting a useless war. Though it was tough, Obama did a great job keeping away from the war that would take millions from the US budget and get innocent people killed. Unfortunately, the recent government didn't think twice, before they started bombing Syria. They will cut the support of Black families in the US to kill innocent kids in Syria. How did we come to this?!",24000000.0
1087,1781,12055,400.00 RUB,16 - 65+,,"Black nationalism, Pan-Africanism, African-American culture, African-American Civil Rights Movement (1954--68), African-American history, Black Consciousness Movement, Martin Luther King Ill or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,Positive young black men serving this country will not be on any news outlet. Thar s why we decided to post it here.,31000000.0
762,141,1828,1006.16 RUB,35 - 65+,Exclude people who like Being Patriotic,"Fly the American Flag, America the Beautiful, American Patriots, I Love the USA, Proud to be an American, Patriot Nation, Flag of the United States, American Patriot or American patriotism, Employers: Proud to be an American And Must Also Match: Politics: Likely to engage with political content (conservative)","News Feed on desktop computers, News Feed on mobile devices or Right column on desktop computers",Patriotism is looking out for yourself by looking out for your country - Calvin Coolidge. Being Patriotic,
1009,310,3152,148.82 RUB,16 - 65+,,"Pan-Africanism, African-American Civil Rights Movement (1954-68), African-American history or Black (Color)",News Feed on desktop computers or News Feed on mobile devices,"Have a good day, kings, queens, Black Gods and Goddess!",24000000.0
