AD_ID,AD_CLICKS,AD_CREATION_DATE,AD_END_DATE,AD_IMPRESSIONS,AD_LANDING_PAGE,AD_PATH,AD_SPEND,AD_TARGETING_AGE,AD_TARGETING_CUSTOM_AUDIENCE,AD_TARGETING_EXCLUDE,AD_TARGETING_EXCLUDED_CONNECTIONS,AD_TARGETING_EXCLUDE_LOCATION,AD_TARGETING_FRIENDS_OF_CONNECTIONS,AD_TARGETING_GENDER,AD_TARGETING_INTERESTS,AD_TARGETING_LANGUAGE,AD_TARGETING_LOCATION,AD_TARGETING_LOCATION_LIVING_IN,AD_TARGETING_LOCATION_RECENTLY_IN,AD_TARGETING_PEOPLE_WHO_MATCH,AD_TARGETING_PLACEMENTS,AD_TEXT,AD_POTENTIAL_TARGET
1977,30,2017-04-18 07:58:47,2017-04-19 07:58:47,680,https://blackmattersus.com/32556-bank-of-america-to-pay-old-debts/,2017-04/P(1)0004141.pdf,300.00 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,We live in hope that times are changing but they aren't. The predecessor company of Bank of America accused of racial discrimination. Bank Of America To Pay Old Debts I BlackMattersUS.com blackmattersus.com,2900000.0
119,45,2015-07-15 08:22:39,2015-07-16 08:22:39,672,https://www.facebook.com/black-matters-1579673598947501/,2015-q3/2015-07/P(1)0001906.pdf,262.75 RUB,18 - 65+,,,,,Friends of people who are connected to Black Matters,,,,"United States: Baltimore Maryland; Ferguson, St. Louis Missouri; Cleveland Ohio",,,"People who like Black Matters,",News Feed on desktop computers or News Feed on mobile devices,"Black church vandalized for the third time in a row on Florida's Space Coast.Was it a hate-crime? A predominantly Melbourne black church was vandalized for the third time in six months. According to the Melbourne Police Department, the vandal bought axes to chop through access points to get in. Church Bishop Jacquelyn Gordon said that the church was in the process of development since they moved two years ago into 125,000 foot industrial complex. Moreover, the message ""SS Charleston 2"" was found on the car nearby the Church, which raised concerns about church security. SS Charleston 2 indicates the tragedy in Charleston when nine people were shot to death by white supremacist Dylann Roof at Emanuel AME church. Before, the church members found the words ""We see u"" that were painted in the radical emblem of the Nazi party swastika. How many hateful people living in America today? What of these people are getting their hatred and racism from their parents or friends? What if it is a hate crime? Has the government created a fund to assist this church?",
1071,0,2016-10-20 07:48:37,2016-10-21 07:48:36,0,https://www.facebook.com/blacktivist-128371547505950/,2016-q4/2016-10/P(1)0000320.pdf,0,16 - 65+,,,,,,,"Black nationalism, Pan-Africanism, African-American culture, African-American Civil Rights Movement (1954--68), African-American history, Black Consciousness Movement, Martin Luther King Ill or Black (Color)",English (UK) or English (US),United States,,,,News Feed on desktop computers or News Feed on mobile devices,"Dear cop , please stop using our children for publicity stunts.",31000000.0
500,235,2015-07-17 06:42:16,2015-07-19 06:42:16,1620,https://www.facebook.com/patriototus/,2015-q3/2015-07/P(1)0002355.pdf,290.00 RUB,18 - 65+,,,,,Friends of people who are connected to Being Patriotic,,,,United States,,,"People who like Being Patriotic,",News Feed on desktop computers or News Feed on mobile devices,"Marine Corps General Joseph Dunford told the Congress last week that the deaths of 500 soldiers in Iraq and Afghanistan could be attributed to Iran. This statement sounds strange on the background of rapproachment between Obama's administration and Tehran. Although, this rapproachment in itself looks strange. We would remind you that Tehran has never expressed its condolences for the Iran hostage crisis. Moreover, the Supreme Leader of Iran Ali Hosseini Khamenei is too disrespectful to the United States despite of friendly actions of Obama's administration. And Iranian military command claims that Iran is ready to come into collision with America at any moment. The Iran deal is a shame of the United States. Senate Republicans were right when they expressed their distrust of Iranian government. It's not clear why Obama has refused containment of Iran that is an potential enemy not only for the United States, but also for the rest world. Barack Obama is, by all appearances, a true traitor of the United States. And it's not empty words — the rapprochement with Iran is either a treachery or stupidness.",
707,632,2016-09-08 05:50:25,2016-09-10 03:10:55,8538,https://www.facebook.com/events/554359838086349/,2016-q3/2016-09/P(1)0002666.pdf,3884.64 RUB,18 - 65+,,,,,,,Texas,English (UK)or English (US),United States: Houston (+50 mi) Texas,,,,News Feed on desktop computers or News Feed on mobile devices,It's been 15 years since the 9/11 and it became clear that extemist terror groups are bein Stop Radical Islam,
1587,0,2016-05-05 02:12:02,,0,https://www.facebook.com/blackjourney2justice/,2016-q2/2016-05/P(1)0000439.pdf,0,14 - 54,,,Exclude people who like Don't Shoot,,,,Stop Police Brutality or Cop Block,English (UK)or English (US),United States,,,,News Feed on mobile devices,We run this community because we care...,910000.0
2032,2059,2017-05-24 07:59:30,2017-05-25 07:59:30,9946,https://www.facebook.com/blackmattersus/.mvmnt/,2017-05/P(1)0000684.pdf,253.16 RUB,18 - 65+,,,,,,,"Martin Luther King, Jr., African-American culture, African-American Civil Rights Movement (1954-68), African-American history or Malcolm X",,,United States,,,News Feed on desktop computers or News Feed on mobile devices,Well done! I live for the sake of such exalted moments.,17000000.0
3462,4,2016-05-12 03:42:06,,1218,https://musicfb.info/,2016-q2/2016-05/P(1)0006093.pdf,341.88 RUB,15 - 30,,,,,,,"Grooveshark, Last.fm, SoundCloud, Vevo, Shazam (service) or Google Play Music",English (UK)or English (US),United States,,,Behaviors: Facebook access (browser): Chrome And Must Also Match:,News Feed on desktop computers,Stop paying for music! Listen legally and for free. Download now! Free and legal music service. Click to download! musicfb.info FaceMusic Stop A.I.,
1826,200,2015-12-11 01:29:58,,32149,https://www.instagram.com/nuts.news/,2015-q4/2015-12/P(1)0003962.pdf,1980.97 RUB,14 - 36,,,,,,,Politics,English (US),United States,,,,Instagram Feed,At least you have great pies of your kid! Join us! Click Learn more! Nuts News ( @nuts.news) Funnylnst,14000000.0
1962,3,2016-08-04 05:12:07,2016-08-05 05:12:06,18,https://www.facebook.com/secured-borders-757183957716200/,2016-q3/2016-08/P(1)0004116.pdf,493.22 RUB,18 - 65+,,,,,,,,,,United States: Texas,,,News Feed on desktop computers or News Feed on mobile devices,"Barack Hussein Obama has tried very hard to open the doors for his friends from Middle East and to create a most welcoming environment for Muslims in general. He forced our government to give them countless benefits and managed to create an atmosphere of total omnipotence for them with the help of CAIR. It all would be alright, if he was a president of a Muslim country, but he is president of UNITED STATES OF AMERICA, which makes his eternal love for Muslims a mere TREACHERY! Barack Hussein Obama and his lap dog Hillary should never be allowed control our lives ever again!",229000000.0
