AD_ID,AD_TARGETING_INTERESTS,AD_CLICKS,AD_IMPRESSIONS,AD_TEXT,TARGETTING_GROUP
564,"LGBT rights by country or territory, Lesbian community, LGBT community or Same-sex marriage",73,1495,Westboro baptist church is planning to stand against tolerance in education system near LG God H8s Bigots Rally,LGBT
566,"Rainbow flag (LGBT movement), LGBT rights by country or territory, Gay Rights, Lesbian community, LGBT community, LGBT Equality, Same-sex marriage in the United States, Same-sex marriage or LGBT social movements",318,7159,Westboro baptist church is planning to stand against tolerance in education system near LG Westboro Baptist Church counter protest,LGBT
569,LGBT community or Same-sex marriage,0,0,"Louis Halsey, 88, and John Spofford, 94, New York City, New York The couple married after 64 years together. ?",LGBT
575,"Gay pride, LGBT culture, LGBT community or LGBT social movements",11131,65649,"HELP RODNEY SUMTER RECOVER Rodney Sumter Jr., 27 miraculously survived Pulse nightclub Orlando shooting, being shot three times. But he's still in a lot of pain. Rodney is still recovering at Orlando Regional Medical Center. Lenita Sumter, his mother, said he is in intense pain and that it has been difficult for him to get comfortable and is needing sedation and heavy pain medications. Rodney was shot in the arms and back. He had surgery Monday to repair his arms, but shrapnel was left in his back. He had another surgery Wednesday night, family said. Doctors said Rodney is running a fever and suspect he may have an infection. Please help Rodney Sumter to recover! https://www.gofundme.com/294czwct Don't forget to send forward your payment invoice????",LGBT
580,LGBT community or Homosexuality,103,122,We speak for all fellow members of LGBT community across the nation.,LGBT
593,LGBT community or Same-sex marriage,677,5821,I need a dog just like that one!,LGBT
594,"Bisexuality, Lesbian community, LGBT culture, LGBT community, Transgenderism or Human Sexuality",679,4189,"Is here anyone from Glendale, Arizona? WE NEED YOU! HELP US to protect the memory of the victims of hate! Last week on Friday, May Kieu and Dorothy Dutiel, both 15-year-old sophomores at Independence High School in Glendale, each died of a single gunshot wound about 8 a.m. just outside the school's cafeteria. The girls were a couple. Police are calling it a murder-suicide. This heart-breaking incident is all over the news and the comments are disgusting! Homophobes use the incident as a proof that love is a sin! This is just ignorance! Two children died and people are grieving! How would you feel if strangers came to your neighborhood or your school to push their agenda? These people are just aggravating the situation and traumatizing other KIDS! If you live in Glendale, Arizona, please, come and support us today: 6602 N 75th Ave,Glendale, AZ 85303. LET'S STAND UP AGAINST BIGOTRY! If you are not from Glendale, please, SHARE this post! Let people know we support them! P.S. please, send us photos from the event.",LGBT
596,LGBT community or Same-sex marriage,41,331,"THE US ARMY HAS PUNISHED CHELSEA MANNING for possessing books and magazines having to do with LGBTQ and political issues. They accused her of misconduct for having an expired tube of toothpaste and for brushing food off the table. They placed her in a solitary confinement — a torturous, extremely distressing experience. The whole cruel, corrupted system is against her. It looks like military prosecutors view Manning in a way that means she must be ""broken"" or forcefully assimilated because of her crime —first, because she exposed the government's crimes, and government really doesn't like it, and second, because she's trans. Their goal is to see that Manning is as dehumanized as possible, but it's clear who the real non-humans are. Someone has gone to great lengths to paint Chelsea as a deceitful and psychotic character. But how many of those punishing Manning should themselves be in a psych ward? Transphobia is a one ugly thing. So sad when heroes like Chelsea Manning forced to suffer, to undergo injustice and humiliation, even though they had been through enough already! Free Chelsea Manning you sadistic creeps!! #ChelseaManning #FreeChelsea #transphobia #LGBT #transgender #PrideHeroes",LGBT
598,LGBT community or Same-sex marriage,193,1597,"Wonder Woman comes from an island populated exclusively by women, so there's no doubt in our minds she is a supporter of the LGBT community. And of course this world always need an amazing power of woman's touch:-) Isn't it just amazing? Wonder Woman presides over the wedding of two brides in Sensation Comics Featuring Wonder Woman, Chapter 48 written and illustrated by Jason Badower. Badower said he also really wanted to reference current affairs in the story - specifically, legalization of same-sex marriage nationwide. ""I saw this Wonder Woman story as an incredible opportunity to have one of the most recognizable, iconic characters in the world to be among the first to step forward and officially endorse this new law,"" he said. ""I thought, let's not just have Wonder Woman embrace this new law, let's have her celebrate it."" Some may ask — why is it so important when superheroes depicted as supporters of marriage equality? Because it is a massive, land-mark milestone in LBGTQ rights history. Because the fight to get to normal was so difficult, and because the fight to change normal is still ongoing. Just like Wonder Woman using her superpowers to struggle with violence and injustice of the world! :-) #wonderwoman #superheroes #marriageequality #gaymarriage #lesbian",LGBT
604,LGBT community or Same-sex marriage,1521,13819,"My mom blames California for me being a lesbian. Everything was fine until you moved out there."" ""That's right, Mom, we have mandatory lesbianism in West Hollywood. The Gay Patrol busted me, and I was given seven business days to add a significant amount of flannel to my wardrobe!"" quote by Coley Sohn #lesbian #queerhumor #queerquote #coleysohn",LGBT
